1;Grateful;NEFFEX;182;Grateful;4;
2;Viva La Vida;Coldplay;242;Viva La Vida or Death and All His Friends;5;
3;Fix You;Coldplay;295;X&Y;5;
4;Yellow;Coldplay;266;Parachutes;5;
5;The Scientist;Coldplay;309;A Rush of Blood to the Head;5;
6;Adventure of a Lifetime;Coldplay;263;A Head Full of Dreams;5;
7;Clocks;Coldplay;307;A Rush of Blood to the Head;5;
8;Whiskey In The Jar;Metallica;305;Garage, Inc.;6;
9;Metal Militia;Metallica;311;Kill 'Em All;6;
10;Battery;Metallica;313;Master Of Puppets;6;
11;The Four Hoursmen;Metallica;432;Kill 'Em All;6;
12;One;Metallica;447;...And Justice For All;6;
13;Always;Bon Jovi;353;Cross Road;7;
14;Livin' On A Prayer;Bon Jovi;249;Slippery When Wet;7;
15;Dry County;Bon Jovi;592;Keep The Faith;7;
16;Complicated;Bon Jovi;217;Have A Nice Day;7;
17;I'm With You;Bon Jovi;224;What About Now;7;
18;Burning Bridges;Bon Jovi;164;Burning Bridges;7;
19;Story Of Love;Bon Jovi;349;2020;7;
20;Amazing;Aerosmith;356;Get A Grip;8;
21;Crazy;Aerosmith;316;Get A Grip;8;
22;Dream On;Aerosmith;266;Aerosmith;8;
23;Te Quiero;Amen;254;Libre;9;
24;Fin del tiempo;Amen;187;Amen;9;
25;Y es que sucede asi;Arena Hash;225;Ah Ah Ah;10;
26;El rey del ah ah ah;Arena Hash;231;Ah Ah Ah;10;
27;Cuentame;Pedro Suarez Vertiz;238;(No Existen) Tecnicas para Olvidar;11;
28;Un Vino, Una Cerveza;Pedro Suarez Vertiz;276;Degeneracion Actual;11;
29;Lo Olvide;Pedro Suarez Vertiz;239;Play;11;
30;Amazonas;Pedro Suarez Vertiz;236;Amazonas;11;
31;I'm With You;Avril Lavigne;223;Let Go;12;
32;I Lived;One Republic;234;Native;13;
33;Heaven;Bryan Adams;243;Reckless;14;
34;Start Me Up;The Rolling Stones;213;Tattoo You;15;
35;Paint it, Black;The Rolling Stones;202;Aftermath;15;
36;Heart of Mine;THE DRIVER ERA;264;Girlfriend;16;
37;God Only Knows;Orianthi;234;Believe;17;
38;One Last Dance;R5;201;Louder;18;
39;Did You Have Your Fun?;R5;194;Sometime Last Night;18;
40;Faint;Linkin Park;162;Meteora;19;
41;Numb;Linkin Park;186;Meteora;19;
42;Painkiller;Judas Priest;366;Painkiller;20;
43;Breaking the Law;Judas Priest;153;British Steel;20;
44;Living After Midnight;Judas Priest;210;British Steel;20;
45;Liar;Megadeth;200;So Far, So Good... So What!;21;
46;Last Rites / Loved to Deth;Megadeth;292;Killing Is My Business...And Business Is Good;21;
47;A Tout Le Monde;Megadeth;262;Youthanasia;21;
48;I AM MURLOC;L70ETC;211;I AM MURLOC;22;
49;Gone, Gone, Gone;Phillip Phillips;209;The World From The Side Of The Moon;23;
50;Don't Give Up On Me;Andy Grammer;196;Naive;24;
51;Someone You Loved;Lewis Capaldi;182;Divinely Uninspired To A Hellish Extent;25;
52;Stairway to Heaven;Led Zeppelin;478;Led Zeppelin IV;26;
53;Blinding Lights;The Weeknd;200;After Hours;29;
54;Save Your Tears;The Weeknd;215;After Hours;29;
55;Where is The Love?;Black Eyed Peas;272;Elephunk;27;
56;I Gotta Feeling;Black Eyed Peas;289;THE E.N.D. (THE ENERGY NEVER DIES);27;
57;Rock Hard Ride Free;Judas Priest;334;Defenders Of The Faith;20;
58;Moves Like Jagger;Maroon 5;201;Hands All Over;28;
59;Girls Like You;Maroon 5;215;Red Pill Blues (Deluxe);28;
60;24K Magic;Bruno Mars;225;24k Magic;30;
61;Bohemian Rhapsody;Queen;354;A Night At The Opera;31;
62;Don't Stop Me Now;Queen;209;Jazz;31;
63;Innuendo;Queen;393;Innuendo;31;
64;The Show Must Go On;Queen;278;Innuendo;31;
65;Love Of My Live;Queen;217;A Night At The Opera;31;
66;Paradise City;Guns N' Roses;406;Appetite For Destruction;32;
67;Sweet Child O' Mine;Guns N' Roses;355;Appetite For Destruction;32;
68;Civil War;Guns N' Roses;462;Use Your Illusion II (Explicit Version);32;
69;Un Dia Sin Sexo;Mar de Copas;398;Lado B;34;
70;Pensando en Ti;Mar de Copas;267;Seis;34;
71;Cada Vez;Mar de Copas;157;Lado B;34;
72;Je veux;Zaz;215;Zaz;35;
73;3e sexe;Indochine;297;3;36;
74;Trois nuits par semaine;Indochine;312;3;36;
75;Je marche seul;Jean-Jacques Goldman;244;Non homologue;37;
76;In These Arms;Bon Jovi;319;Keep The Faith;7;
77;The Unforgiven;Metallica;387;Metallica;6;
78;Hit The Lights;Metallica;257;Kill 'Em All;6;
79;Around the World;Red Hot Chili Peppers;269;Californication;40;
80;Tell Me Baby;Red Hot Chili Peppers;248;Stadium Arcadium;40;
81;Snow (Hey Oh);Red Hot Chili Peppers;334;Stadium Arcadium;40;
82;Habla tu espejo;El Cuarteto De Nos;279;Habla tu espejo;39;
83;Lo malo de ser bueno;El Cuarteto De Nos;242;Porfiado;39;
